Area,Item,Year, hg/ha_yield , average_rain_fall_mm_per_year , pesticides_tonnes ,avg_temp
Albania,Potatoes,2004,"149,346","1,485",818,16.16
Albania,Soybeans,2004,"13,333","1,485",818,16.16
Albania,Wheat,2004,"31,130","1,485",818,16.16
Albania,Maize,2005,"45,442","1,485",881,15.67
Albania,Potatoes,2005,"167,061","1,485",881,15.67
Albania,Soybeans,2005,"17,500","1,485",881,15.67
Albania,Wheat,2005,"31,582","1,485",881,15.67
Albania,Maize,2006,"50,111","1,485",944,15.92
Albania,Potatoes,2006,"170,745","1,485",944,15.92
Albania,Soybeans,2006,"20,000","1,485",944,15.92
Albania,Wheat,2006,"30,787","1,485",944,15.92
Albania,Maize,2007,"46,732","1,485","1,007",16.67
Albania,Potatoes,2007,"188,902","1,485","1,007",16.67
Albania,Soybeans,2007,"20,000","1,485","1,007",16.67
Albania,Wheat,2007,"35,496","1,485","1,007",16.67
Albania,Maize,2008,"50,000","1,485","1,070",16.71
Albania,Potatoes,2008,"193,878","1,485","1,070",16.71
Albania,Soybeans,2008,"20,000","1,485","1,070",16.71
Albania,Wheat,2008,"40,168","1,485","1,070",16.71
Albania,Maize,2009,"55,693","1,485","1,133",16.73
Albania,Potatoes,2009,"219,780","1,485","1,133",16.73
Albania,Soybeans,2009,"16,667","1,485","1,133",16.73
Albania,Wheat,2009,"40,229","1,485","1,133",16.73
Albania,Maize,2010,"66,790","1,485","1,311",16.52
Albania,Potatoes,2010,"231,111","1,485","1,311",16.52
Albania,Soybeans,2010,"16,667","1,485","1,311",16.52
Albania,Wheat,2010,"39,905","1,485","1,311",16.52
Albania,Maize,2011,"59,869","1,485","1,303",16.45
Albania,Potatoes,2011,"242,211","1,485","1,303",16.45
Albania,Soybeans,2011,"18,519","1,485","1,303",16.45
Albania,Wheat,2011,"42,301","1,485","1,303",16.45
Albania,Maize,2012,"67,290","1,485",766,16.7
Albania,Potatoes,2012,"250,538","1,485",766,16.7
Albania,Soybeans,2012,"13,333","1,485",766,16.7
Albania,Wheat,2012,"41,096","1,485",766,16.7
Albania,Maize,2013,"69,533","1,485",982,17.41
Albania,Potatoes,2013,"260,110","1,485",982,17.41
Albania,Soybeans,2013,"10,000","1,485",982,17.41
Albania,Wheat,2013,"41,292","1,485",982,17.41
Algeria,Maize,1990,"16,500",89,"1,829",17.48
Algeria,Potatoes,1990,"78,936",89,"1,829",17.48
Algeria,"Rice, paddy",1990,"28,000",89,"1,829",17.48
Algeria,Sorghum,1990,"16,571",89,"1,829",17.48
Algeria,Wheat,1990,"6,315",89,"1,829",17.48
Algeria,Maize,1991,"19,231",89,"2,462",16.26
Algeria,Potatoes,1991,"90,747",89,"2,462",16.26
Algeria,"Rice, paddy",1991,"26,786",89,"2,462",16.26
Algeria,Sorghum,1991,"24,231",89,"2,462",16.26
Algeria,Wheat,1991,"10,809",89,"2,462",16.26
Algeria,Maize,1992,"22,828",89,"1,215",16.27
Algeria,Potatoes,1992,"107,917",89,"1,215",16.27
Algeria,"Rice, paddy",1992,"24,733",89,"1,215",16.27
Algeria,Sorghum,1992,"40,000",89,"1,215",16.27
Algeria,Wheat,1992,"9,939",89,"1,215",16.27
Algeria,Maize,1993,"12,500",89,"1,022",17
Algeria,Potatoes,1993,"111,215",89,"1,022",17
Algeria,"Rice, paddy",1993,"23,111",89,"1,022",17
Algeria,Sorghum,1993,"50,000",89,"1,022",17
Algeria,Wheat,1993,"8,097",89,"1,022",17
Algeria,Maize,1994,"4,512",89,"1,255",17.88
Algeria,Potatoes,1994,"95,078",89,"1,255",17.88
Algeria,"Rice, paddy",1994,"21,374",89,"1,255",17.88
Algeria,Wheat,1994,"7,999",89,"1,255",17.88
Algeria,Maize,1995,"16,115",89,"2,697",17.36
Algeria,Potatoes,1995,"136,768",89,"2,697",17.36
Algeria,"Rice, paddy",1995,"19,598",89,"2,697",17.36
Algeria,Sorghum,1995,"12,667",89,"2,697",17.36
Algeria,Wheat,1995,"8,924",89,"2,697",17.36
Algeria,Maize,1996,"17,154",89,480,16.76
Algeria,Potatoes,1996,"134,629",89,480,16.76
Algeria,"Rice, paddy",1996,"17,861",89,480,16.76
Algeria,Sorghum,1996,"14,750",89,480,16.76
Algeria,Wheat,1996,"13,090",89,480,16.76
Algeria,Maize,1997,"21,417",89,401,17.84
Algeria,Potatoes,1997,"141,042",89,401,17.84
Algeria,"Rice, paddy",1997,"15,000",89,401,17.84
Algeria,Sorghum,1997,"40,000",89,401,17.84
Algeria,Wheat,1997,"8,016",89,401,17.84
Algeria,Maize,1998,"17,222",89,323,17.14
Algeria,Potatoes,1998,"160,256",89,323,17.14
Algeria,"Rice, paddy",1998,"15,000",89,323,17.14
Algeria,Sorghum,1998,"24,500",89,323,17.14
Algeria,Wheat,1998,"8,847",89,323,17.14
Algeria,Maize,1999,"22,375",89,654,17.97
Algeria,Potatoes,1999,"153,532",89,654,17.97
Algeria,"Rice, paddy",1999,"13,942",89,654,17.97
Algeria,Sorghum,1999,"27,000",89,654,17.97
Algeria,Wheat,1999,"10,711",89,654,17.97
Algeria,Maize,2000,"36,186",89,604,17.9
Algeria,Potatoes,2000,"166,143",89,604,17.9
Algeria,"Rice, paddy",2000,"13,052",89,604,17.9
Algeria,Sorghum,2000,"69,500",89,604,17.9
Algeria,Wheat,2000,"9,194",89,604,17.9
Algeria,Maize,2001,"27,175",89,710,18.13
Algeria,Potatoes,2001,"147,018",89,710,18.13
Algeria,"Rice, paddy",2001,"12,314",89,710,18.13
Algeria,Sorghum,2001,"27,750",89,710,18.13
Algeria,Wheat,2001,"11,104",89,710,18.13
Algeria,Maize,2002,"33,480",89,817,17.85
Algeria,Potatoes,2002,"183,774",89,817,17.85
Algeria,"Rice, paddy",2002,"12,959",89,817,17.85
Algeria,Sorghum,2002,"33,900",89,817,17.85
Algeria,Wheat,2002,"10,739",89,817,17.85
Algeria,Maize,2004,"31,729",89,"3,748",17.38
Algeria,Potatoes,2004,"203,585",89,"3,748",17.38
Algeria,"Rice, paddy",2004,"12,829",89,"3,748",17.38
Algeria,Sorghum,2004,"43,316",89,"3,748",17.38
Algeria,Wheat,2004,"13,582",89,"3,748",17.38
Algeria,Maize,2005,"33,864",89,"3,663",17.19
Algeria,Potatoes,2005,"216,267",89,"3,663",17.19
Algeria,"Rice, paddy",2005,"12,998",89,"3,663",17.19
Algeria,Sorghum,2005,"33,486",89,"3,663",17.19
Algeria,Wheat,2005,"15,057",89,"3,663",17.19
Algeria,Maize,2006,"65,668",89,"4,111",18.13
Algeria,Potatoes,2006,"220,689",89,"4,111",18.13
Algeria,"Rice, paddy",2006,"12,769",89,"4,111",18.13
Algeria,Sorghum,2006,"56,728",89,"4,111",18.13
Algeria,Wheat,2006,"15,068",89,"4,111",18.13
Algeria,Maize,2007,"85,625",89,"5,391",17.42
Algeria,Potatoes,2007,"189,927",89,"5,391",17.42
Algeria,"Rice, paddy",2007,"13,375",89,"5,391",17.42
Algeria,Sorghum,2007,"119,059",89,"5,391",17.42
Algeria,Wheat,2007,"12,742",89,"5,391",17.42
Algeria,Maize,2008,"44,714",89,"11,556",17.55
Algeria,Potatoes,2008,"236,393",89,"11,556",17.55
Algeria,"Rice, paddy",2008,"13,952",89,"11,556",17.55
Algeria,Sorghum,2008,"61,786",89,"11,556",17.55
Algeria,Wheat,2008,"11,038",89,"11,556",17.55
Algeria,Maize,2009,"30,914",89,"3,868",17.78
Algeria,Potatoes,2009,"250,764",89,"3,868",17.78
Algeria,"Rice, paddy",2009,"14,594",89,"3,868",17.78
Algeria,Sorghum,2009,"90,465",89,"3,868",17.78
Algeria,Wheat,2009,"15,975",89,"3,868",17.78
Algeria,Maize,2010,"25,827",89,"1,296",17.59
Algeria,Potatoes,2010,"270,526",89,"1,296",17.59
Algeria,"Rice, paddy",2010,"15,305",89,"1,296",17.59
Algeria,Sorghum,2010,"30,286",89,"1,296",17.59
Algeria,Wheat,2010,"14,838",89,"1,296",17.59
Algeria,Maize,2011,"23,374",89,"13,862",17.79
Algeria,Potatoes,2011,"292,806",89,"13,862",17.79
Algeria,"Rice, paddy",2011,"16,081",89,"13,862",17.79
Algeria,Sorghum,2011,"100,000",89,"13,862",17.79
Algeria,Wheat,2011,"17,405",89,"13,862",17.79
Algeria,Maize,2012,"25,583",89,"17,380",17.91
Algeria,Potatoes,2012,"304,291",89,"17,380",17.91
Algeria,"Rice, paddy",2012,"16,667",89,"17,380",17.91
Algeria,Sorghum,2012,"206,000",89,"17,380",17.91
Algeria,Wheat,2012,"17,639",89,"17,380",17.91
Algeria,Maize,2013,"33,649",89,"17,279",17.65
Algeria,Potatoes,2013,"303,218",89,"17,279",17.65
Algeria,"Rice, paddy",2013,"17,778",89,"17,279",17.65
Algeria,Sorghum,2013,"60,000",89,"17,279",17.65
Algeria,Wheat,2013,"19,100",89,"17,279",17.65
Angola,Cassava,1990,"41,177","1,010",64,24.12
Angola,Maize,1990,"2,736","1,010",64,24.12
Angola,Potatoes,1990,"40,000","1,010",64,24.12
Angola,"Rice, paddy",1990,"9,512","1,010",64,24.12
Angola,Sweet potatoes,1990,"89,342","1,010",64,24.12
Angola,Wheat,1990,"7,995","1,010",64,24.12
Angola,Cassava,1991,"40,295","1,010",79,24.02
Angola,Maize,1991,"4,013","1,010",79,24.02
Angola,Potatoes,1991,"40,000","1,010",79,24.02
Angola,"Rice, paddy",1991,"10,000","1,010",79,24.02
Angola,Sweet potatoes,1991,"83,001","1,010",79,24.02
Angola,Wheat,1991,"8,000","1,010",79,24.02
Angola,Cassava,1992,"42,295","1,010",23,23.96
Angola,Maize,1992,"3,778","1,010",23,23.96
Angola,Potatoes,1992,"40,000","1,010",23,23.96
Angola,"Rice, paddy",1992,"9,106","1,010",23,23.96
Angola,Sweet potatoes,1992,"90,000","1,010",23,23.96
Angola,Wheat,1992,"8,000","1,010",23,23.96
Angola,Cassava,1993,"42,295","1,010",169,24.15
Angola,Maize,1993,"2,627","1,010",169,24.15
Angola,Potatoes,1993,"70,000","1,010",169,24.15
Angola,"Rice, paddy",1993,"8,000","1,010",169,24.15
Angola,Sweet potatoes,1993,"88,095","1,010",169,24.15
Angola,Wheat,1993,"8,876","1,010",169,24.15
Angola,Cassava,1994,"58,596","1,010",26,24.04
Angola,Maize,1994,"2,463","1,010",26,24.04
Angola,Potatoes,1994,"90,000","1,010",26,24.04
Angola,"Rice, paddy",1994,"8,750","1,010",26,24.04
Angola,Sweet potatoes,1994,"83,192","1,010",26,24.04
Angola,Wheat,1994,"10,000","1,010",26,24.04
Angola,Cassava,1995,"51,000","1,010",336,24.56
Angola,Maize,1995,"3,517","1,010",336,24.56
Angola,Potatoes,1995,"76,738","1,010",336,24.56
Angola,"Rice, paddy",1995,"14,615","1,010",336,24.56
Angola,Sweet potatoes,1995,"81,138","1,010",336,24.56
Angola,Wheat,1995,"11,855","1,010",336,24.56
Angola,Cassava,1996,"48,077","1,010",40,24.11
Angola,Maize,1996,"6,993","1,010",40,24.11
Angola,Potatoes,1996,"70,000","1,010",40,24.11
Angola,"Rice, paddy",1996,"17,500","1,010",40,24.11
Angola,Sweet potatoes,1996,"85,455","1,010",40,24.11
Angola,Wheat,1996,"13,738","1,010",40,24.11
Angola,Cassava,1997,"44,205","1,010",40,24.06
Angola,Maize,1997,"5,959","1,010",40,24.06
Angola,Potatoes,1997,"68,571","1,010",40,24.06
Angola,"Rice, paddy",1997,"20,000","1,010",40,24.06
Angola,Sweet potatoes,1997,"78,098","1,010",40,24.06
Angola,Wheat,1997,"15,509","1,010",40,24.06
Angola,Cassava,1998,"55,728","1,010",40,24.96
Angola,Maize,1998,"7,396","1,010",40,24.96
Angola,Potatoes,1998,"62,724","1,010",40,24.96
Angola,"Rice, paddy",1998,"20,000","1,010",40,24.96
Angola,Sweet potatoes,1998,"76,256","1,010",40,24.96
Angola,Wheat,1998,"17,143","1,010",40,24.96
Angola,Cassava,1999,"59,821","1,010",40,24.37
Angola,Maize,1999,"6,361","1,010",40,24.37
Angola,Potatoes,1999,"54,597","1,010",40,24.37
Angola,"Rice, paddy",1999,"14,235","1,010",40,24.37
Angola,Sweet potatoes,1999,"82,865","1,010",40,24.37
Angola,Wheat,1999,"17,391","1,010",40,24.37
Angola,Cassava,2000,"82,992","1,010",40,24.41
Angola,Maize,2000,"5,745","1,010",40,24.41
Angola,Potatoes,2000,"29,885","1,010",40,24.41
Angola,"Rice, paddy",2000,"13,454","1,010",40,24.41
Angola,Sorghum,2000,"3,333","1,010",40,24.41
Angola,Soybeans,2000,"2,333","1,010",40,24.41
Angola,Sweet potatoes,2000,"34,938","1,010",40,24.41
Angola,Wheat,2000,"17,023","1,010",40,24.41
Angola,Cassava,2001,"94,072","1,010",40,24.43
Angola,Maize,2001,"5,754","1,010",40,24.43
Angola,Potatoes,2001,"42,552","1,010",40,24.43
Angola,"Rice, paddy",2001,"13,701","1,010",40,24.43
Angola,Sorghum,2001,"3,571","1,010",40,24.43
Angola,Soybeans,2001,"2,500","1,010",40,24.43
Angola,Sweet potatoes,2001,"44,458","1,010",40,24.43
Angola,Wheat,2001,"16,667","1,010",40,24.43
Angola,Cassava,2002,"110,071","1,010",40,24.79
Angola,Maize,2002,"6,706","1,010",40,24.79
Angola,Potatoes,2002,"42,754","1,010",40,24.79
Angola,"Rice, paddy",2002,"13,198","1,010",40,24.79
Angola,Sorghum,2002,"3,400","1,010",40,24.79
Angola,Soybeans,2002,"2,857","1,010",40,24.79
Angola,Sweet potatoes,2002,"42,190","1,010",40,24.79
Angola,Wheat,2002,"15,455","1,010",40,24.79
Angola,Cassava,2004,"125,605","1,010",40,24.22
Angola,Maize,2004,"5,404","1,010",40,24.22
Angola,Potatoes,2004,"20,150","1,010",40,24.22
Angola,"Rice, paddy",2004,"11,584","1,010",40,24.22
Angola,Sorghum,2004,"3,333","1,010",40,24.22
Angola,Soybeans,2004,"3,600","1,010",40,24.22
Angola,Sweet potatoes,2004,"45,360","1,010",40,24.22
Angola,Wheat,2004,"12,442","1,010",40,24.22
Angola,Cassava,2005,"117,628","1,010",40,24.41
Angola,Maize,2005,"6,736","1,010",40,24.41
Angola,Potatoes,2005,"23,646","1,010",40,24.41
Angola,"Rice, paddy",2005,"6,977","1,010",40,24.41
Angola,Sorghum,2005,"3,333","1,010",40,24.41
Angola,Soybeans,2005,"3,793","1,010",40,24.41
Angola,Sweet potatoes,2005,"46,159","1,010",40,24.41
Angola,Wheat,2005,"10,946","1,010",40,24.41
Angola,Cassava,2006,"117,201","1,010",40,24.14
Angola,Maize,2006,"4,687","1,010",40,24.14
Angola,Potatoes,2006,"52,148","1,010",40,24.14
Angola,"Rice, paddy",2006,"4,947","1,010",40,24.14
Angola,Sorghum,2006,"4,091","1,010",40,24.14
Angola,Soybeans,2006,"4,286","1,010",40,24.14
Angola,Sweet potatoes,2006,"44,240","1,010",40,24.14
Angola,Wheat,2006,"10,000","1,010",40,24.14
Angola,Cassava,2007,"115,387","1,010",40,24.24
Angola,Maize,2007,"5,091","1,010",40,24.24
Angola,Potatoes,2007,"62,138","1,010",40,24.24
Angola,"Rice, paddy",2007,"5,143","1,010",40,24.24
Angola,Sorghum,2007,"4,031","1,010",40,24.24
Angola,Soybeans,2007,"6,883","1,010",40,24.24
Angola,Sweet potatoes,2007,"58,855","1,010",40,24.24
Angola,Wheat,2007,"10,000","1,010",40,24.24
Angola,Cassava,2008,"148,084","1,010",40,24.27
Angola,Maize,2008,"7,946","1,010",40,24.27
Angola,Potatoes,2008,"85,085","1,010",40,24.27
Angola,"Rice, paddy",2008,"5,084","1,010",40,24.27
Angola,Sorghum,2008,929,"1,010",40,24.27
Angola,Soybeans,2008,"8,575","1,010",40,24.27
Angola,Sweet potatoes,2008,"65,437","1,010",40,24.27
Angola,Wheat,2008,"10,000","1,010",40,24.27
Angola,Cassava,2009,"151,759","1,010",40,24.33
Angola,Maize,2009,"6,614","1,010",40,24.33
Angola,Potatoes,2009,"86,509","1,010",40,24.33
Angola,"Rice, paddy",2009,"6,028","1,010",40,24.33
Angola,Sorghum,2009,"2,480","1,010",40,24.33
Angola,Soybeans,2009,"4,449","1,010",40,24.33
Angola,Sweet potatoes,2009,"66,475","1,010",40,24.33
Angola,Wheat,2009,"10,000","1,010",40,24.33
Angola,Cassava,2010,"155,782","1,010",40,24.44
Angola,Maize,2010,"7,200","1,010",40,24.44
Angola,Potatoes,2010,"87,425","1,010",40,24.44
Angola,"Rice, paddy",2010,"7,403","1,010",40,24.44
Angola,Sorghum,2010,"2,814","1,010",40,24.44
Angola,Soybeans,2010,"4,446","1,010",40,24.44
Angola,Sweet potatoes,2010,"63,001","1,010",40,24.44
Angola,Wheat,2010,"10,526","1,010",40,24.44
Angola,Cassava,2011,"133,649","1,010",40,24.15
Angola,Maize,2011,"7,376","1,010",40,24.15
Angola,Potatoes,2011,"81,366","1,010",40,24.15
Angola,"Rice, paddy",2011,"8,914","1,010",40,24.15
Angola,Sorghum,2011,"3,320","1,010",40,24.15
Angola,Soybeans,2011,"5,294","1,010",40,24.15
Angola,Sweet potatoes,2011,"65,512","1,010",40,24.15
Angola,Wheat,2011,"10,959","1,010",40,24.15
Angola,Cassava,2012,"100,073","1,010",40,24.24
Angola,Maize,2012,"7,770","1,010",40,24.24
Angola,Potatoes,2012,"69,381","1,010",40,24.24
Angola,"Rice, paddy",2012,"7,703","1,010",40,24.24
Angola,Sorghum,2012,998,"1,010",40,24.24
Angola,Soybeans,2012,"1,641","1,010",40,24.24
Angola,Sweet potatoes,2012,"52,954","1,010",40,24.24
Angola,Wheat,2012,"11,258","1,010",40,24.24
Angola,Cassava,2013,"140,517","1,010",40,24.55
Angola,Maize,2013,"9,467","1,010",40,24.55
Angola,Potatoes,2013,"63,303","1,010",40,24.55
Angola,"Rice, paddy",2013,"12,744","1,010",40,24.55
Angola,Sorghum,2013,"2,415","1,010",40,24.55
Angola,Soybeans,2013,"4,405","1,010",40,24.55
Angola,Sweet potatoes,2013,"73,409","1,010",40,24.55
Angola,Wheat,2013,"9,022","1,010",40,24.55
Argentina,Cassava,1990,"100,000",591,"26,156",17.46
Argentina,Cassava,1990,"100,000",591,"26,156",17.67
Argentina,Maize,1990,"34,608",591,"26,156",17.46
Argentina,Maize,1990,"34,608",591,"26,156",17.67
Argentina,Potatoes,1990,"202,747",591,"26,156",17.46
Argentina,Potatoes,1990,"202,747",591,"26,156",17.67
Argentina,"Rice, paddy",1990,"36,709",591,"26,156",17.46
Argentina,"Rice, paddy",1990,"36,709",591,"26,156",17.67
Argentina,Sorghum,1990,"28,116",591,"26,156",17.46
Argentina,Sorghum,1990,"28,116",591,"26,156",17.67
Argentina,Soybeans,1990,"21,566",591,"26,156",17.46
Argentina,Soybeans,1990,"21,566",591,"26,156",17.67
Argentina,Sweet potatoes,1990,"131,864",591,"26,156",17.46
Argentina,Sweet potatoes,1990,"131,864",591,"26,156",17.67
Argentina,Wheat,1990,"18,947",591,"26,156",17.46
Argentina,Wheat,1990,"18,947",591,"26,156",17.67
Argentina,Cassava,1991,"100,000",591,"26,156",17.64
Argentina,Cassava,1991,"100,000",591,"26,156",17.86
Argentina,Maize,1991,"40,444",591,"26,156",17.64
Argentina,Maize,1991,"40,444",591,"26,156",17.86
Argentina,Potatoes,1991,"205,692",591,"26,156",17.64
Argentina,Potatoes,1991,"205,692",591,"26,156",17.86
Argentina,"Rice, paddy",1991,"40,294",591,"26,156",17.64
Argentina,"Rice, paddy",1991,"40,294",591,"26,156",17.86
Argentina,Sorghum,1991,"33,320",591,"26,156",17.64
Argentina,Sorghum,1991,"33,320",591,"26,156",17.86
Argentina,Soybeans,1991,"22,750",591,"26,156",17.64
Argentina,Soybeans,1991,"22,750",591,"26,156",17.86
Argentina,Sweet potatoes,1991,"131,364",591,"26,156",17.64
Argentina,Sweet potatoes,1991,"131,364",591,"26,156",17.86
Argentina,Wheat,1991,"18,972",591,"26,156",17.64
Argentina,Wheat,1991,"18,972",591,"26,156",17.86
Argentina,Cassava,1992,"100,000",591,"26,156",17.09
Argentina,Cassava,1992,"100,000",591,"26,156",17.51
Argentina,Maize,1992,"45,237",591,"26,156",17.09
Argentina,Maize,1992,"45,237",591,"26,156",17.51
Argentina,Potatoes,1992,"199,039",591,"26,156",17.09
Argentina,Potatoes,1992,"199,039",591,"26,156",17.51
Argentina,"Rice, paddy",1992,"52,075",591,"26,156",17.09
Argentina,"Rice, paddy",1992,"52,075",591,"26,156",17.51
Argentina,Sorghum,1992,"36,217",591,"26,156",17.09
Argentina,Sorghum,1992,"36,217",591,"26,156",17.51
Argentina,Soybeans,1992,"22,915",591,"26,156",17.09
Argentina,Soybeans,1992,"22,915",591,"26,156",17.51
Argentina,Sweet potatoes,1992,"127,273",591,"26,156",17.09
Argentina,Sweet potatoes,1992,"127,273",591,"26,156",17.51
Argentina,Wheat,1992,"21,809",591,"26,156",17.09
Argentina,Wheat,1992,"21,809",591,"26,156",17.51
Argentina,Cassava,1993,"100,000",591,"26,156",17.32
Argentina,Cassava,1993,"100,000",591,"26,156",17.53
Argentina,Maize,1993,"43,552",591,"26,156",17.32
Argentina,Maize,1993,"43,552",591,"26,156",17.53
Argentina,Potatoes,1993,"210,314",591,"26,156",17.32
Argentina,Potatoes,1993,"210,314",591,"26,156",17.53
Argentina,"Rice, paddy",1993,"43,559",591,"26,156",17.32
Argentina,"Rice, paddy",1993,"43,559",591,"26,156",17.53
Argentina,Sorghum,1993,"39,529",591,"26,156",17.32
Argentina,Sorghum,1993,"39,529",591,"26,156",17.53
Argentina,Soybeans,1993,"21,589",591,"26,156",17.32
Argentina,Soybeans,1993,"21,589",591,"26,156",17.53
Argentina,Sweet potatoes,1993,"122,955",591,"26,156",17.32
Argentina,Sweet potatoes,1993,"122,955",591,"26,156",17.53
Argentina,Wheat,1993,"23,272",591,"26,156",17.32
Argentina,Wheat,1993,"23,272",591,"26,156",17.53
Argentina,Cassava,1994,"100,000",591,"30,195",18.17
Argentina,Cassava,1994,"100,000",591,"30,195",18.31
Argentina,Maize,1994,"42,371",591,"30,195",18.17
Argentina,Maize,1994,"42,371",591,"30,195",18.31
Argentina,Potatoes,1994,"230,166",591,"30,195",18.17
Argentina,Potatoes,1994,"230,166",591,"30,195",18.31
Argentina,"Rice, paddy",1994,"42,989",591,"30,195",18.17
Argentina,"Rice, paddy",1994,"42,989",591,"30,195",18.31
Argentina,Sorghum,1994,"35,065",591,"30,195",18.17
Argentina,Sorghum,1994,"35,065",591,"30,195",18.31
Argentina,Soybeans,1994,"20,386",591,"30,195",18.17
Argentina,Soybeans,1994,"20,386",591,"30,195",18.31
Argentina,Sweet potatoes,1994,"176,667",591,"30,195",18.17
Argentina,Sweet potatoes,1994,"176,667",591,"30,195",18.31
Argentina,Wheat,1994,"20,237",591,"30,195",18.17
Argentina,Wheat,1994,"20,237",591,"30,195",18.31
Argentina,Cassava,1995,"100,000",591,"37,842",17.74
Argentina,Cassava,1995,"100,000",591,"37,842",17.62
Argentina,Maize,1995,"45,223",591,"37,842",17.74
Argentina,Maize,1995,"45,223",591,"37,842",17.62
Argentina,Potatoes,1995,"274,272",591,"37,842",17.74
Argentina,Potatoes,1995,"274,272",591,"37,842",17.62
Argentina,"Rice, paddy",1995,"50,306",591,"37,842",17.74
Argentina,"Rice, paddy",1995,"50,306",591,"37,842",17.62
Argentina,Sorghum,1995,"34,588",591,"37,842",17.74
Argentina,Sorghum,1995,"34,588",591,"37,842",17.62
Argentina,Soybeans,1995,"20,446",591,"37,842",17.74
Argentina,Soybeans,1995,"20,446",591,"37,842",17.62
Argentina,Sweet potatoes,1995,"168,000",591,"37,842",17.74
Argentina,Sweet potatoes,1995,"168,000",591,"37,842",17.62
Argentina,Wheat,1995,"21,675",591,"37,842",17.74
Argentina,Wheat,1995,"21,675",591,"37,842",17.62
Argentina,Cassava,1996,"100,000",591,"54,595",17.64
Argentina,Cassava,1996,"100,000",591,"54,595",17.97
Argentina,Maize,1996,"40,397",591,"54,595",17.64
Argentina,Maize,1996,"40,397",591,"54,595",17.97
Argentina,Potatoes,1996,"228,877",591,"54,595",17.64
Argentina,Potatoes,1996,"228,877",591,"54,595",17.97
Argentina,"Rice, paddy",1996,"51,031",591,"54,595",17.64
Argentina,"Rice, paddy",1996,"51,031",591,"54,595",17.97
Argentina,Sorghum,1996,"38,763",591,"54,595",17.64
Argentina,Sorghum,1996,"38,763",591,"54,595",17.97
